feature_map,n,seed,off_diag_var
RBF-Class,4,0,0.0610632300376892
RBF-Class,4,1,0.0610632337629795
RBF-Class,4,2,0.0610632263123989
RBF-Class-2n,4,0,0.0290646646171808
RBF-Class-2n,4,1,0.0290646646171808
RBF-Class-2n,4,2,0.0290646683424711
W2K-Block,4,0,0.0012570969007685
W2K-Block,4,1,0.0012570969007685
W2K-Block,4,2,0.0012570969007685
IQP,4,0,0.011002221773112
IQP,4,1,0.011002221773112
IQP,4,2,0.011002221773112
HEE,4,0,0.0321683958957678
HEE,4,1,0.0321683958957678
HEE,4,2,0.0321683958957678
ZZ,4,0,0.00408935470312
ZZ,4,1,0.00408935470312
ZZ,4,2,0.00408935470312
RBF-Class,6,0,0.0402965508401393
RBF-Class,6,1,0.0402965508401393
RBF-Class,6,2,0.0402965508401393
RBF-Class-2n,6,0,0.0188020151108503
RBF-Class-2n,6,1,0.0188020206987857
RBF-Class-2n,6,2,0.0188020188361406
W2K-Block,6,0,0.0013733953770611
W2K-Block,6,1,0.0013733953770611
W2K-Block,6,2,0.0013733953770611
IQP,6,0,0.0014107417672655
IQP,6,1,0.0014107417672655
IQP,6,2,0.0014107417672655
HEE,6,0,0.0061043477310246
HEE,6,1,0.0061043477310246
HEE,6,2,0.0061043477310246
ZZ,6,0,0.0002524734976058
ZZ,6,1,0.0002524734976058
ZZ,6,2,0.0002524734976058
RBF-Class,8,0,0.0290646646171808
RBF-Class,8,1,0.0290646646171808
RBF-Class,8,2,0.0290646683424711
RBF-Class-2n,8,0,0.0139349550008773
RBF-Class-2n,8,1,0.0139349568635225
RBF-Class-2n,8,2,0.0139349550008773
W2K-Block,8,0,0.0014538861949355
W2K-Block,8,1,0.0014538861949355
W2K-Block,8,2,0.0014538861949355
IQP,8,0,0.0002332488366885
IQP,8,1,0.0002332488366885
IQP,8,2,0.0002332488366885
HEE,8,0,0.0010315685662786
HEE,8,1,0.0010315685662786
HEE,8,2,0.0010315685662786
ZZ,8,0,1.6416415309802445e-05
ZZ,8,1,1.6416415309802445e-05
ZZ,8,2,1.6416415309802445e-05
RBF-Class,10,0,0.0227804146707057
RBF-Class,10,1,0.0227804128080606
RBF-Class,10,2,0.022780418395996
RBF-Class-2n,10,0,0.0110706510022282
RBF-Class-2n,10,1,0.0110706510022282
RBF-Class-2n,10,2,0.0110706519335508
W2K-Block,10,0,0.0014906665968902
W2K-Block,10,1,0.0014906665968902
W2K-Block,10,2,0.0014906665968902
IQP,10,0,4.882511573698e-05
IQP,10,1,4.882511573697999e-05
IQP,10,2,4.882511573698e-05
HEE,10,0,0.0001847423900683
HEE,10,1,0.0001847423900683
HEE,10,2,0.0001847423900683
ZZ,10,0,1.0984329062099823e-06
ZZ,10,1,1.0984329062099823e-06
ZZ,10,2,1.0984329062099823e-06
RBF-Class,12,0,0.0188020151108503
RBF-Class,12,1,0.0188020206987857
RBF-Class,12,2,0.0188020188361406
RBF-Class-2n,12,0,0.0091248601675033
RBF-Class-2n,12,1,0.0091248610988259
RBF-Class-2n,12,2,0.0091248592361807
W2K-Block,12,0,0.0015252624590298
W2K-Block,12,1,0.0015252624590298
W2K-Block,12,2,0.0015252624590298
IQP,12,0,1.5585837434726782e-05
IQP,12,1,1.5585837434726782e-05
IQP,12,2,1.5585837434726782e-05
HEE,12,0,3.742237069332664e-05
HEE,12,1,3.742237069332664e-05
HEE,12,2,3.742237069332664e-05
ZZ,12,0,8.526735372930929e-08
ZZ,12,1,8.526735372930929e-08
ZZ,12,2,8.526735372930929e-08
RBF-Class,14,0,0.0160705801099538
RBF-Class,14,1,0.0160705801099538
RBF-Class,14,2,0.0160705801099538
RBF-Class-2n,14,0,0.0077635562047362
RBF-Class-2n,14,1,0.0077635566703975
RBF-Class-2n,14,2,0.0077635557390749
W2K-Block,14,0,0.0015471786228321
W2K-Block,14,1,0.0015471786228321
W2K-Block,14,2,0.0015471786228321
IQP,14,0,6.605244259190694e-06
IQP,14,1,6.605244259190694e-06
IQP,14,2,6.605244259190693e-06
HEE,14,0,1.0740002021687509e-05
HEE,14,1,1.0740002021687504e-05
HEE,14,2,1.0740002021687509e-05
ZZ,14,0,8.429513979798238e-09
ZZ,14,1,8.429513979798238e-09
ZZ,14,2,8.429513979798238e-09
RBF-Class,16,0,0.0139349550008773
RBF-Class,16,1,0.0139349568635225
RBF-Class,16,2,0.0139349550008773
RBF-Class-2n,16,0,0.0066492604091763
RBF-Class-2n,16,1,0.0066492608748376
RBF-Class-2n,16,2,0.0066492613404989
W2K-Block,16,0,0.0015503447240149
W2K-Block,16,1,0.0015503447240149
W2K-Block,16,2,0.0015503447240149
IQP,16,0,3.278710234875926e-06
IQP,16,1,3.278710234875926e-06
IQP,16,2,3.278710234875926e-06
HEE,16,0,3.993687443951723e-06
HEE,16,1,3.993687443951724e-06
HEE,16,2,3.993687443951723e-06
ZZ,16,0,1.1945546005010599e-09
ZZ,16,1,1.1945546005010599e-09
ZZ,16,2,1.1945546005010599e-09
