feature_map,n,seed,off_diag_var
RBF-Class,4,0,0.0523700900375843
RBF-Class,4,1,0.0523700937628746
RBF-Class,4,2,0.0523700937628746
RBF-Class-2n,4,0,0.0264290459454059
RBF-Class-2n,4,1,0.0264290459454059
RBF-Class-2n,4,2,0.0264290459454059
W2K-Block,4,0,0.0009685261918124
W2K-Block,4,1,0.0009685261918124
W2K-Block,4,2,0.0009685261918124
IQP,4,0,0.009227771237642
IQP,4,1,0.009227771237642
IQP,4,2,0.009227771237642
HEE,4,0,0.0255902927127841
HEE,4,1,0.0255902927127841
HEE,4,2,0.0255902927127841
ZZ,4,0,0.0040485842017736
ZZ,4,1,0.0040485842017736
ZZ,4,2,0.0040485842017736
RBF-Class,6,0,0.0356309786438941
RBF-Class,6,1,0.0356309786438941
RBF-Class,6,2,0.0356309786438941
RBF-Class-2n,6,0,0.0175902247428894
RBF-Class-2n,6,1,0.0175902247428894
RBF-Class-2n,6,2,0.0175902266055345
W2K-Block,6,0,0.0011024459067763
W2K-Block,6,1,0.0011024459067763
W2K-Block,6,2,0.0011024459067763
IQP,6,0,0.0012913063058549
IQP,6,1,0.0012913063058549
IQP,6,2,0.0012913063058549
HEE,6,0,0.0047292090523326
HEE,6,1,0.0047292090523326
HEE,6,2,0.0047292090523326
ZZ,6,0,0.0002524503246165
ZZ,6,1,0.0002524503246165
ZZ,6,2,0.0002524503246165
RBF-Class,8,0,0.0264290459454059
RBF-Class,8,1,0.0264290459454059
RBF-Class,8,2,0.0264290459454059
RBF-Class-2n,8,0,0.0130881126970052
RBF-Class-2n,8,1,0.0130881126970052
RBF-Class-2n,8,2,0.0130881126970052
W2K-Block,8,0,0.0011693687684452
W2K-Block,8,1,0.0011693687684452
W2K-Block,8,2,0.0011693687684452
IQP,8,0,0.0002148702493006
IQP,8,1,0.0002148702493006
IQP,8,2,0.0002148702493006
HEE,8,0,0.0007872828844898
HEE,8,1,0.0007872828844898
HEE,8,2,0.0007872828844898
ZZ,8,0,1.6230607632920873e-05
ZZ,8,1,1.6230607632920873e-05
ZZ,8,2,1.6230607632920873e-05
RBF-Class,10,0,0.0208465903997421
RBF-Class,10,1,0.0208465903997421
RBF-Class,10,2,0.0208465941250324
RBF-Class-2n,10,0,0.0103186788037419
RBF-Class-2n,10,1,0.0103186788037419
RBF-Class-2n,10,2,0.0103186788037419
W2K-Block,10,0,0.0012104632242433
W2K-Block,10,1,0.0012104632242433
W2K-Block,10,2,0.0012104632242433
IQP,10,0,5.043139429797653e-05
IQP,10,1,5.043139429797652e-05
IQP,10,2,5.043139429797652e-05
HEE,10,0,0.0001318949940169
HEE,10,1,0.0001318949940169
HEE,10,2,0.0001318949940169
ZZ,10,0,1.100448021841955e-06
ZZ,10,1,1.100448021841955e-06
ZZ,10,2,1.1004480218419549e-06
RBF-Class,12,0,0.0175902247428894
RBF-Class,12,1,0.0175902247428894
RBF-Class,12,2,0.0175902266055345
RBF-Class-2n,12,0,0.0085307247936725
RBF-Class-2n,12,1,0.0085307229310274
RBF-Class-2n,12,2,0.0085307219997048
W2K-Block,12,0,0.0012439780931544
W2K-Block,12,1,0.0012439780931544
W2K-Block,12,2,0.0012439780931544
IQP,12,0,1.6381905637560232e-05
IQP,12,1,1.6381905637560232e-05
IQP,12,2,1.6381905637560236e-05
HEE,12,0,2.933306610729627e-05
HEE,12,1,2.9333066107296268e-05
HEE,12,2,2.9333066107296268e-05
ZZ,12,0,8.471739422504403e-08
ZZ,12,1,8.471739422504403e-08
ZZ,12,2,8.471739422504403e-08
RBF-Class,14,0,0.015100029297173
RBF-Class,14,1,0.015100029297173
RBF-Class,14,2,0.015100029297173
RBF-Class-2n,14,0,0.0073437821120023
RBF-Class-2n,14,1,0.0073437821120023
RBF-Class-2n,14,2,0.0073437821120023
W2K-Block,14,0,0.0012682370949497
W2K-Block,14,1,0.0012682370949497
W2K-Block,14,2,0.0012682370949497
IQP,14,0,7.01470683283414e-06
IQP,14,1,7.01470683283414e-06
IQP,14,2,7.01470683283414e-06
HEE,14,0,1.1361341071691393e-05
HEE,14,1,1.136134107169139e-05
HEE,14,2,1.1361341071691393e-05
ZZ,14,0,8.396870200237506e-09
ZZ,14,1,8.396870200237504e-09
ZZ,14,2,8.396870200237506e-09
RBF-Class,16,0,0.0130881126970052
RBF-Class,16,1,0.0130881126970052
RBF-Class,16,2,0.0130881126970052
RBF-Class-2n,16,0,0.0064627034589648
RBF-Class-2n,16,1,0.0064627029933035
RBF-Class-2n,16,2,0.0064627034589648
W2K-Block,16,0,0.001281473437497
W2K-Block,16,1,0.001281473437497
W2K-Block,16,2,0.001281473437497
IQP,16,0,3.2466965158723253e-06
IQP,16,1,3.2466965158723253e-06
IQP,16,2,3.2466965158723253e-06
HEE,16,0,7.29438574958446e-06
HEE,16,1,7.294385749584459e-06
HEE,16,2,7.29438574958446e-06
ZZ,16,0,1.1501656499816947e-09
ZZ,16,1,1.1501656499816943e-09
ZZ,16,2,1.1501656499816947e-09
