feature_map,n_pool,n_qubits,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std
HEE,400,4,0.7625000000000001,0.049999999999999975,0.7607565478505413,0.04883341889825089,0.6849501966867243,0.06496746923944996
HEE,400,8,0.7000000000000001,0.04330127018922192,0.7000202432647876,0.04521910926574355,0.6056696197263224,0.06330108933539237
HEE,400,12,0.6041666666666666,0.047324236215002244,0.5932542220335824,0.047534938060334535,0.506422214463185,0.03283125083513574
HEE,400,16,0.3125,0.012500000000000011,0.20161934191539452,0.023362439306121266,0.1774886143281489,0.029901894512052034
HEE,400,20,0.25416666666666665,0.007216878364870309,0.17708766666666667,0.008302874221216002,0.13791933333333334,0.00784849955936377
HEE,800,4,0.8041666666666667,0.0036084391824351162,0.8023313511919353,0.003327251309725416,0.7412960250513541,0.006535006244346803
HEE,800,8,0.7999999999999999,0.022534695471649904,0.800835835495952,0.0223112325765141,0.7337860940794595,0.03022964204241899
HEE,800,12,0.7312500000000001,0.024999999999999953,0.7314344672760359,0.025610803516135434,0.6492336746566175,0.02792481000227723
HEE,800,16,0.39166666666666666,0.03662165798176448,0.33063454198421477,0.0598857439648226,0.3086710746023447,0.048165491560688584
HEE,800,20,0.2626,0.011294689017409905,0.18679,0.01299445250866691,0.14709066666666668,0.012283171306032225
HEE,1200,4,0.7805555555555556,0.03938179688543838,0.7778298690286428,0.04171303724814204,0.7090012525976069,0.05161311910688788
HEE,1200,8,0.7736111111111111,0.0700115731173809,0.7728436394342686,0.07140285169180738,0.6983921543683049,0.09378470810285851
HEE,1200,12,0.7277777777777779,0.07001157311738093,0.7260276677474119,0.07271892553723584,0.6408112700216949,0.09456704144507745
HEE,1200,16,0.4597222222222222,0.010485881160098263,0.4369515741926022,0.009206972400400497,0.37894362300852164,0.01585693582403622
HEE,1200,20,0.27509999999999996,0.011294689017409895,0.20117166666666667,0.01299457203348125,0.16068433333333332,0.012282622372007276
HEE,1600,4,0.8083333333333332,0.020807275370248096,0.8063999252726473,0.02061257079271594,0.7455541296858477,0.028156865607944448
HEE,1600,8,0.8072916666666666,0.036219455522320185,0.807124861076668,0.03510831025833508,0.743029825220432,0.04838487004729132
HEE,1600,12,0.7781250000000001,0.03603925810834627,0.7788385955041613,0.03440296403298479,0.7050809979122509,0.047835683755638785
HEE,1600,16,0.5572916666666666,0.009547032697824684,0.5525952776136797,0.014510136313113103,0.4897830393417624,0.006958305498989224
HEE,1600,20,0.2876,0.011294689017409905,0.21555266666666664,0.012994572033481274,0.17427800000000002,0.01228305177877225
HEE,2000,4,0.8083333333333332,0.01909406539564934,0.8073139675135842,0.019152825231003635,0.7448162960484547,0.025552678505669103
HEE,2000,8,0.7783333333333333,0.02402255884233267,0.777797892512803,0.024392077018870115,0.7051232230975981,0.032303949651506826
HEE,2000,12,0.7983333333333333,0.023228933107943953,0.7981297004547586,0.02311040499056699,0.7318387263404441,0.030929558837327255
HEE,2000,16,0.6375000000000001,0.03682729965664056,0.6321782733812058,0.04242586711817635,0.5612190773749461,0.04251967258921747
HEE,2000,20,0.3001,0.011294689017409905,0.22993366666666668,0.01299457203348125,0.187872,0.01228305177877225
IQP,400,4,0.5499999999999999,0.03750000000000006,0.547093038762418,0.03436952496637063,0.4014371491656182,0.05133650906426602
IQP,400,8,0.3833333333333333,0.04389855730355307,0.364342149083206,0.02646203909128027,0.18074975913807476,0.06323352636234898
IQP,400,12,0.2791666666666667,0.02886751345948128,0.15929000237485846,0.05560446895212488,0.033026287455480766,0.05260209238717192
IQP,400,16,0.2625,0.0,0.1039603960396039,0.0,0.0,0.0
IQP,400,20,0.2625,0.0,0.10396,0.0,0.0,0.0
IQP,800,4,0.5791666666666666,0.02366211810750107,0.5759566275463903,0.0264456537284743,0.43968666683005303,0.031810066636785046
IQP,800,8,0.4145833333333333,0.047324236215002285,0.40469711568491995,0.040914554896853125,0.2204128724833091,0.06517258795096838
IQP,800,12,0.40208333333333335,0.042542870534712784,0.34881163264671217,0.0410559674355571,0.2220669332872891,0.06513728867332885
IQP,800,16,0.26666666666666666,0.007216878364870353,0.11298939888267946,0.01563869166589073,0.020199393847716202,0.03498637642633866
IQP,800,20,0.2625,0.0,0.10396,0.0,0.0,0.0
IQP,1200,4,0.6124999999999999,0.03254270698294441,0.6101877098536427,0.03325286217583203,0.483448219381776,0.04369922548194832
IQP,1200,8,0.43333333333333335,0.03974746672570608,0.4199496461659262,0.029222466834093946,0.2463087571790925,0.056259615559471565
IQP,1200,12,0.3916666666666666,0.021650635094611015,0.3656999416725404,0.019474298634315972,0.192741718106468,0.02697277602954202
IQP,1200,16,0.28611111111111115,0.030712978315966612,0.1569927084570745,0.06164886711305321,0.05692306713880204,0.06021236848159222
IQP,1200,20,0.2625,0.0,0.10396,0.0,0.0,0.0
IQP,1600,4,0.6708333333333334,0.01909406539564934,0.6673048660895642,0.017192294424628513,0.5620317267008655,0.02598557764983755
IQP,1600,8,0.44687499999999997,0.04098399077688751,0.44428702281365995,0.04172728696733762,0.2622291858148967,0.05485501374186597
IQP,1600,12,0.38125000000000003,0.03603925810834625,0.3533112267617986,0.030622545524447174,0.17682052200195228,0.051657405924749725
IQP,1600,16,0.2989583333333333,0.02260680668146951,0.21356251330613354,0.024404765669103764,0.07424635079304066,0.04773663954274645
IQP,1600,20,0.2625,0.0,0.10396,0.0,0.0,0.0
IQP,2000,4,0.6691666666666668,0.006291528696059019,0.6684537602174516,0.0077698192895830935,0.5591269032822779,0.008308867405186224
IQP,2000,8,0.465,0.05202163011671205,0.4643833472170895,0.05258729171957982,0.28602158499256497,0.06958964676748655
IQP,2000,12,0.4266666666666667,0.023629078131263057,0.4106079692447809,0.022145730649917383,0.23748227860925186,0.03156218241287686
IQP,2000,16,0.3383333333333334,0.008036375634160766,0.2662474750334469,0.013652144220422836,0.1363309965777532,0.012786794607904852
IQP,2000,20,0.2625,0.0,0.10396,0.0,0.0,0.0
RBF-Class,400,4,0.8541666666666666,0.01909406539564934,0.8531062705222157,0.01985999204924273,0.8068755364050236,0.02516292268765534
RBF-Class,400,8,0.85,0.02165063509461097,0.8486182163860588,0.021684662771912448,0.8021749556166421,0.029866930081022553
RBF-Class,400,12,0.8666666666666667,0.03145764348029476,0.8639529421291704,0.03312730162637794,0.8240635566101159,0.04057522309751171
RBF-Class,400,16,0.8916666666666666,0.03818813079129869,0.8902541571817925,0.03847415333709392,0.857253256326093,0.049193461400686485
RBF-Class,400,20,0.875,0.03307189138830739,0.8741816666666667,0.03373011651822947,0.8340299999999999,0.04384368988805568
RBF-Class,800,4,0.8770833333333333,0.007216878364870297,0.8760139730616961,0.00782862259617068,0.8375555702244712,0.008882701086588233
RBF-Class,800,8,0.8895833333333334,0.02366211810750108,0.8882994338872737,0.024842823557498048,0.8540347274732976,0.030293115004028547
RBF-Class,800,12,0.8666666666666667,0.032072508996543014,0.8648550013452221,0.033123864037309735,0.8229834772800638,0.042696094599203094
RBF-Class,800,16,0.8916666666666666,0.021949278651776517,0.8901315587186351,0.022932741616283933,0.857022912765951,0.02778466567500617
RBF-Class,800,20,0.8833666666666667,0.013002435669263441,0.882715,0.013261523027163971,0.8451223333333333,0.0172375947374723
