feature_map,n_pool,n_qubits,seed,acc,f1,mcc
RBF-Class,400,4,0,0.85,0.8502883202351288,0.8028199631249252
RBF-Class,400,4,1,0.8375,0.8348057644110276,0.7839867237142606
RBF-Class,400,4,2,0.875,0.8742247269204907,0.8338199223758851
RBF-Class,800,4,0,0.86875,0.8669911295176407,0.8273054610655328
RBF-Class,800,4,1,0.88125,0.8800473231467401,0.8430028440865132
RBF-Class,800,4,2,0.88125,0.8810034665207079,0.8423584055213675
RBF-Class,1200,4,0,0.8541666666666666,0.8533923013723429,0.806497343185365
RBF-Class,1200,4,1,0.825,0.8219301654681593,0.7671645896810735
RBF-Class,1200,4,2,0.875,0.8757247894271488,0.8335266156450234
RBF-Class,1600,4,0,0.86875,0.867874151941446,0.824938443088183
RBF-Class,1600,4,1,0.8375,0.8361975140474673,0.7835309161840276
RBF-Class,1600,4,2,0.8625,0.8622561843541476,0.8166362758199752
RBF-Class,2000,4,0,0.89,0.8900357213954384,0.853474965768505
RBF-Class,2000,4,1,0.8575,0.8579990702674443,0.8103620851857299
RBF-Class,2000,4,2,0.855,0.8539815877516194,0.8071714968446344
RBF-Class-2n,400,4,0,0.8375,0.8371366564255702,0.7857242146006433
RBF-Class-2n,400,4,1,0.8375,0.8350884246262936,0.7841503098868733
RBF-Class-2n,400,4,2,0.875,0.8736295681063123,0.8366503423624095
RBF-Class-2n,800,4,0,0.8625,0.8598632497845716,0.8194367284208289
RBF-Class-2n,800,4,1,0.9,0.8992459120300309,0.8668720386619929
RBF-Class-2n,800,4,2,0.90625,0.9057891398472188,0.875795415337071
RBF-Class-2n,1200,4,0,0.8583333333333333,0.8581796738011078,0.8118890424753749
RBF-Class-2n,1200,4,1,0.8125,0.8100058516836868,0.7505701784095516
RBF-Class-2n,1200,4,2,0.8541666666666666,0.8553077815930745,0.8059442603237312
RBF-Class-2n,1600,4,0,0.878125,0.8768037713078811,0.8378468598673658
RBF-Class-2n,1600,4,1,0.828125,0.8264999751800994,0.7710001660174718
RBF-Class-2n,1600,4,2,0.88125,0.8805364610215968,0.8416938110749186
RBF-Class-2n,2000,4,0,0.895,0.8951102677012325,0.860158582049656
RBF-Class-2n,2000,4,1,0.87,0.8704840723716686,0.8266744015650427
RBF-Class-2n,2000,4,2,0.8625,0.8617680818049973,0.8167811792960348
