feature_map,n_pool,n_qubits,seed,acc,f1,mcc
RBF-Class,400,4,0,0.6,0.5897435897435898,0.2116262021508967
RBF-Class,400,4,1,0.75,0.7727272727272727,0.4959002050401611
RBF-Class,400,4,2,0.675,0.7346938775510204,0.3189019279715945
RBF-Class,800,4,0,0.76875,0.7784431137724551,0.5381200207303453
RBF-Class,800,4,1,0.7875,0.7875,0.5789473684210527
RBF-Class,800,4,2,0.7375,0.7613636363636364,0.469930464886894
RBF-Class,1200,4,0,0.7375,0.7509881422924901,0.4755401397807811
RBF-Class,1200,4,1,0.7958333333333333,0.8093385214007782,0.5903038945018048
RBF-Class,1200,4,2,0.75,0.781021897810219,0.4936220101083181
RBF-Class,1600,4,0,0.725,0.7456647398843931,0.4463450119932366
RBF-Class,1600,4,1,0.765625,0.7863247863247863,0.5269455769105608
RBF-Class,1600,4,2,0.70625,0.7298850574712644,0.4099743009963231
RBF-Class,2000,4,0,0.76,0.7866666666666666,0.5133521648109832
RBF-Class,2000,4,1,0.7625,0.7855530474040632,0.5195337692661824
RBF-Class,2000,4,2,0.675,0.6990740740740741,0.3463570131835159
RBF-Class-2n,400,4,0,0.7625,0.7912087912087912,0.5180510302318283
RBF-Class-2n,400,4,1,0.775,0.775,0.5656565656565656
RBF-Class-2n,400,4,2,0.725,0.7755102040816326,0.4452530846175245
RBF-Class-2n,800,4,0,0.8,0.8202247191011236,0.5951274548447759
RBF-Class-2n,800,4,1,0.79375,0.8114285714285714,0.5839051925349036
RBF-Class-2n,800,4,2,0.75625,0.7914438502673797,0.5056810106440639
RBF-Class-2n,1200,4,0,0.7458333333333333,0.7626459143968871,0.4903817985003065
RBF-Class-2n,1200,4,1,0.7625,0.7896678966789668,0.5182693501498388
RBF-Class-2n,1200,4,2,0.7583333333333333,0.7786259541984732,0.5126774540869542
RBF-Class-2n,1600,4,0,0.784375,0.807799442896936,0.563015296214015
RBF-Class-2n,1600,4,1,0.734375,0.7564469914040115,0.4644812332841033
RBF-Class-2n,1600,4,2,0.753125,0.7835616438356164,0.4988464508268789
RBF-Class-2n,2000,4,0,0.775,0.8,0.5438483330175763
RBF-Class-2n,2000,4,1,0.78,0.7972350230414746,0.557152612001392
RBF-Class-2n,2000,4,2,0.7975,0.8146453089244852,0.5915956923043806
W2K-Block,400,4,0,0.7625,0.7956989247311828,0.5183219170278588
W2K-Block,400,4,1,0.7625,0.7654320987654321,0.5366942177716475
W2K-Block,400,4,2,0.75,0.7959183673469388,0.4988980345714431
W2K-Block,800,4,0,0.8,0.8181818181818182,0.5959595959595959
W2K-Block,800,4,1,0.7875,0.8131868131868132,0.5690905405994962
W2K-Block,800,4,2,0.7625,0.7956989247311828,0.5183219170278588
W2K-Block,1200,4,0,0.7625,0.7816091954022989,0.5215760707921645
W2K-Block,1200,4,1,0.7416666666666667,0.7720588235294118,0.4756707120084505
W2K-Block,1200,4,2,0.7625,0.7832699619771863,0.5206239644587373
W2K-Block,1600,4,0,0.753125,0.7762039660056658,0.5009575636143804
W2K-Block,1600,4,1,0.734375,0.7521865889212828,0.4671617379868222
W2K-Block,1600,4,2,0.740625,0.7726027397260274,0.4732973368280631
W2K-Block,2000,4,0,0.7725,0.8026030368763557,0.5385807260473874
W2K-Block,2000,4,1,0.7975,0.8146453089244852,0.5915956923043806
W2K-Block,2000,4,2,0.79,0.8082191780821918,0.5762150082160828
IQP,400,4,0,0.5375,0.6991869918699187,0.0
IQP,400,4,1,0.5375,0.6991869918699187,0.0
IQP,400,4,2,0.5875,0.7401574803149606,0.0
IQP,800,4,0,0.54375,0.5921787709497207,0.0765425765354655
IQP,800,4,1,0.4875,0.5340909090909091,-0.0329130800281422
IQP,800,4,2,0.55625,0.714859437751004,0.0
IQP,1200,4,0,0.5458333333333333,0.706199460916442,0.0
IQP,1200,4,1,0.5208333333333334,0.6048109965635738,0.0118349411042278
IQP,1200,4,2,0.5375,0.587360594795539,0.0622128445878028
IQP,1600,4,0,0.559375,0.591304347826087,0.1133491991291293
IQP,1600,4,1,0.528125,0.5673352435530086,0.0484452313195245
IQP,1600,4,2,0.559375,0.6279683377308707,0.0917463816718628
IQP,2000,4,0,0.55,0.7096774193548387,0.0
IQP,2000,4,1,0.5675,0.6574257425742575,0.1027029175166155
IQP,2000,4,2,0.55,0.7096774193548387,0.0
HEE,400,4,0,0.6125,0.6352941176470588,0.222152767908547
HEE,400,4,1,0.7,0.75,0.3983084916006179
HEE,400,4,2,0.6625,0.7378640776699029,0.2825885947784642
HEE,800,4,0,0.6875,0.7159090909090909,0.3695562037560436
HEE,800,4,1,0.7,0.7037037037037037,0.4018781114321232
HEE,800,4,2,0.64375,0.6918918918918919,0.2721924450077002
HEE,1200,4,0,0.6625,0.6920152091254753,0.3187665307429101
HEE,1200,4,1,0.7375,0.7509881422924901,0.4755401397807811
HEE,1200,4,2,0.6916666666666667,0.7196969696969697,0.3772015167150211
HEE,1600,4,0,0.703125,0.7368421052631579,0.3994965594871383
HEE,1600,4,1,0.740625,0.7594202898550725,0.4781955944368925
HEE,1600,4,2,0.709375,0.7365439093484419,0.4131898981964778
HEE,2000,4,0,0.72,0.7565217391304347,0.4308202184276645
HEE,2000,4,1,0.6975,0.7218390804597701,0.3905521303033115
HEE,2000,4,2,0.6575,0.6893424036281179,0.3077351061470165
ZZ,400,4,0,0.6625,0.6966292134831461,0.3182366931365493
ZZ,400,4,1,0.5375,0.6991869918699187,0.0
ZZ,400,4,2,0.525,0.6724137931034483,-0.1133648256889609
ZZ,800,4,0,0.5375,0.6991869918699187,0.0
ZZ,800,4,1,0.525,0.6885245901639344,0.0
ZZ,800,4,2,0.55625,0.714859437751004,0.0
ZZ,1200,4,0,0.5458333333333333,0.706199460916442,0.0
ZZ,1200,4,1,0.5458333333333333,0.706199460916442,0.0
ZZ,1200,4,2,0.5458333333333333,0.706199460916442,0.0
ZZ,1600,4,0,0.540625,0.7018255578093306,0.0
ZZ,1600,4,1,0.54375,0.7044534412955465,0.0
ZZ,1600,4,2,0.5625,0.72,0.0
ZZ,2000,4,0,0.4825,0.5642105263157895,-0.065333861023993
ZZ,2000,4,1,0.55,0.7096774193548387,0.0
ZZ,2000,4,2,0.5375,0.6088794926004228,0.0505516352784398
RBF-Class,400,8,0,0.7125,0.7228915662650602,0.4262003789793151
RBF-Class,400,8,1,0.7625,0.7816091954022989,0.5215760707921645
RBF-Class,400,8,2,0.7,0.76,0.3685077523987408
RBF-Class,800,8,0,0.84375,0.8571428571428571,0.685331129151363
RBF-Class,800,8,1,0.83125,0.8363636363636363,0.6627556780685052
RBF-Class,800,8,2,0.75,0.7727272727272727,0.4951870568861896
RBF-Class,1200,8,0,0.775,0.7857142857142857,0.5515774629190582
RBF-Class,1200,8,1,0.7875,0.8045977011494253,0.5717486410056943
RBF-Class,1200,8,2,0.7833333333333333,0.8102189781021898,0.5618352143265397
RBF-Class,1600,8,0,0.75,0.7619047619047619,0.5002180528222786
RBF-Class,1600,8,1,0.778125,0.7965616045845272,0.552590727977991
RBF-Class,1600,8,2,0.771875,0.7943661971830986,0.5386092550513992
RBF-Class,2000,8,0,0.7875,0.8089887640449438,0.5698028822981898
RBF-Class,2000,8,1,0.8075,0.8246013667425968,0.6113152092672371
RBF-Class,2000,8,2,0.7525,0.7755102040816326,0.4997537273881762
RBF-Class-2n,400,8,0,0.8125,0.8351648351648352,0.620130050967164
RBF-Class-2n,400,8,1,0.775,0.7857142857142857,0.5527707983925666
RBF-Class-2n,400,8,2,0.7875,0.8247422680412371,0.5765305426075659
RBF-Class-2n,800,8,0,0.75625,0.7868852459016393,0.505197295970482
RBF-Class-2n,800,8,1,0.8375,0.8539325842696629,0.6711011724845346
RBF-Class-2n,800,8,2,0.75,0.7752808988764045,0.4938291646584311
RBF-Class-2n,1200,8,0,0.7708333333333334,0.789272030651341,0.538374011880479
RBF-Class-2n,1200,8,1,0.8083333333333333,0.8257575757575758,0.6127946127946128
RBF-Class-2n,1200,8,2,0.775,0.784,0.5545228838343482
RBF-Class-2n,1600,8,0,0.78125,0.8,0.558682506032316
RBF-Class-2n,1600,8,1,0.784375,0.8022922636103151,0.565318407402769
RBF-Class-2n,1600,8,2,0.76875,0.7978142076502732,0.530776905893038
RBF-Class-2n,2000,8,0,0.8025,0.8240534521158129,0.5998138697969141
RBF-Class-2n,2000,8,1,0.8125,0.8291571753986332,0.6214112490569521
RBF-Class-2n,2000,8,2,0.81,0.8215962441314554,0.6203875692636261
W2K-Block,400,8,0,0.8,0.813953488372093,0.5987464014372824
W2K-Block,400,8,1,0.75,0.7560975609756098,0.5081797188669371
W2K-Block,400,8,2,0.8,0.8297872340425532,0.5968491905238342
W2K-Block,800,8,0,0.78125,0.8087431693989071,0.5563565158155941
W2K-Block,800,8,1,0.8125,0.8351648351648352,0.620130050967164
W2K-Block,800,8,2,0.775,0.8,0.5438483330175762
W2K-Block,1200,8,0,0.7625,0.7849056603773585,0.5198162566202766
W2K-Block,1200,8,1,0.8,0.8208955223880597,0.5949342038308802
W2K-Block,1200,8,2,0.7666666666666667,0.7795275590551181,0.5344193351757012
W2K-Block,1600,8,0,0.8,0.8181818181818182,0.5959595959595959
W2K-Block,1600,8,1,0.76875,0.7810650887573964,0.5389936389558024
W2K-Block,1600,8,2,0.7875,0.8121546961325967,0.5691294383963021
W2K-Block,2000,8,0,0.8025,0.8240534521158129,0.5998138697969141
W2K-Block,2000,8,1,0.81,0.8248847926267281,0.6176031666489209
W2K-Block,2000,8,2,0.81,0.8256880733944955,0.6170609073445336
IQP,400,8,0,0.5375,0.6991869918699187,0.0
IQP,400,8,1,0.5125,0.6355140186915887,-0.025070610528195
IQP,400,8,2,0.6125,0.7350427350427351,0.143958177586998
IQP,800,8,0,0.54375,0.6217616580310881,0.0662503478574291
IQP,800,8,1,0.525,0.6885245901639344,0.0
IQP,800,8,2,0.55625,0.714859437751004,0.0
IQP,1200,8,0,0.5333333333333333,0.6521739130434783,0.0154842227592838
IQP,1200,8,1,0.55,0.6470588235294118,0.0655181877198138
IQP,1200,8,2,0.5458333333333333,0.706199460916442,0.0
IQP,1600,8,0,0.540625,0.7018255578093306,0.0
IQP,1600,8,1,0.521875,0.6203473945409429,0.0066931603781169
IQP,1600,8,2,0.5625,0.72,0.0
IQP,2000,8,0,0.5575,0.640973630831643,0.0847420315169594
IQP,2000,8,1,0.55,0.7096774193548387,0.0
IQP,2000,8,2,0.5375,0.6185567010309279,0.0451659872088876
HEE,400,8,0,0.55,0.5909090909090909,0.0915994009309851
HEE,400,8,1,0.75,0.782608695652174,0.4972393810257227
HEE,400,8,2,0.65,0.7454545454545455,0.2475084604237582
HEE,800,8,0,0.64375,0.6815642458100558,0.2798091698246686
HEE,800,8,1,0.64375,0.6459627329192547,0.289941335111696
HEE,800,8,2,0.66875,0.7282051282051282,0.3202449518873059
HEE,1200,8,0,0.7166666666666667,0.7518248175182481,0.4254088058900965
HEE,1200,8,1,0.7541666666666667,0.7885304659498208,0.5028844876468578
HEE,1200,8,2,0.7,0.7293233082706767,0.3932689514795577
HEE,1600,8,0,0.64375,0.6779661016949152,0.2801779970529876
HEE,1600,8,1,0.73125,0.7597765363128491,0.4562674162673964
HEE,1600,8,2,0.709375,0.7409470752089137,0.4100003208197892
HEE,2000,8,0,0.7225,0.7623126338329764,0.4358286593228783
HEE,2000,8,1,0.7075,0.7346938775510204,0.4087975383792058
HEE,2000,8,2,0.705,0.7400881057268722,0.4008140862498087
ZZ,400,8,0,0.5125,0.6486486486486487,-0.0386164642787598
ZZ,400,8,1,0.5375,0.6991869918699187,0.0
ZZ,400,8,2,0.5875,0.7401574803149606,0.0
ZZ,800,8,0,0.5375,0.6991869918699187,0.0
ZZ,800,8,1,0.525,0.6885245901639344,0.0
ZZ,800,8,2,0.55625,0.6844444444444444,0.0475613856054007
ZZ,1200,8,0,0.5458333333333333,0.706199460916442,0.0
ZZ,1200,8,1,0.5458333333333333,0.706199460916442,0.0
ZZ,1200,8,2,0.5375,0.6925207756232687,-0.0226845692760095
ZZ,1600,8,0,0.496875,0.5924050632911393,-0.0410682202420426
ZZ,1600,8,1,0.54375,0.7044534412955465,0.0
ZZ,1600,8,2,0.54375,0.7020408163265306,-0.0859869362182698
ZZ,2000,8,0,0.55,0.7096774193548387,0.0
ZZ,2000,8,1,0.545,0.6904761904761905,0.0111138556118596
ZZ,2000,8,2,0.55,0.7096774193548387,0.0
RBF-Class,400,12,0,0.75,0.75,0.5084852294154619
RBF-Class,400,12,1,0.7875,0.8089887640449438,0.5718117474286205
RBF-Class,400,12,2,0.7625,0.8041237113402062,0.5048230736578901
RBF-Class,800,12,0,0.825,0.8333333333333334,0.6501587843195145
RBF-Class,800,12,1,0.8625,0.8658536585365854,0.7259079527665504
RBF-Class,800,12,2,0.775,0.7954545454545454,0.5457002408847809
RBF-Class,1200,12,0,0.8166666666666667,0.8253968253968254,0.6352660399203062
